评论,地区,日期,点赞,情绪
耶嘿！下午好呀！,重庆,Thu Nov 17 15:35:18 +0800 2022,2,happiness
1118演出顺利,山西,Fri Nov 18 08:42:29 +0800 2022,3,happiness
嘉祺晚安💤,四川,Thu Nov 17 22:53:36 +0800 2022,6,happiness
宝宝下午好,中国台湾,Thu Nov 17 16:08:14 +0800 2022,3,happiness
宝宝下午好,贵州,Thu Nov 17 15:44:18 +0800 2022,3,happiness
你笑了！！！马嘉祺你竟然发了笑的！！！爱你！,河南,Thu Nov 17 15:43:43 +0800 2022,3,anger
好想你啊 最近是不是很忙呀 期待周日的舞台 明天话剧演出顺利,中国台湾,Thu Nov 17 15:42:51 +0800 2022,2,like
宝宝想死你了,天津,Thu Nov 17 15:42:47 +0800 2022,2,anger
好帅宝宝,陕西,Thu Nov 17 15:42:42 +0800 2022,2,like
我以为你也现在才来漏勺哈哈哈,广东,Thu Nov 17 15:38:22 +0800 2022,5,happiness
老公帅死我了！明天看你,北京,Thu Nov 17 15:36:26 +0800 2022,1,like
宝宝,黑龙江,Thu Nov 17 15:35:49 +0800 2022,3,surprise
前排,山西,Thu Nov 17 15:35:47 +0800 2022,3,disgust
宝宝好想你,河北,Thu Nov 17 15:35:47 +0800 2022,3,sadness
嘉祺下午好,河南,Thu Nov 17 15:35:46 +0800 2022,4,happiness
宝贝,河南,Thu Nov 17 15:35:46 +0800 2022,3,like
宝宝注意保暖呀,甘肃,Thu Nov 17 15:35:45 +0800 2022,2,like
嘉祺下午好🫡,山西,Thu Nov 17 15:35:42 +0800 2022,1,happiness
老公,广东,Thu Nov 17 15:35:40 +0800 2022,1,anger
哇下午好,中国台湾,Thu Nov 17 15:35:40 +0800 2022,2,happiness
老公老公,广东,Thu Nov 17 15:35:38 +0800 2022,3,anger
宝贝,江苏,Thu Nov 17 15:35:38 +0800 2022,3,like
啊啊啊老公别打鼓打我,浙江,Thu Nov 17 15:35:28 +0800 2022,2,sadness
哦莫哦莫，我的宝贝,山东,Thu Nov 17 15:35:27 +0800 2022,2,like
宝宝下午好！,河南,Thu Nov 17 15:35:26 +0800 2022,2,happiness
老公,上海,Thu Nov 17 15:35:21 +0800 2022,2,anger
老公！,河南,Thu Nov 17 15:35:21 +0800 2022,2,anger
好好看,河南,Thu Nov 17 15:35:19 +0800 2022,2,like
老公,浙江,Thu Nov 17 15:35:13 +0800 2022,1,anger
《带我走 》谢谢你了哈马嘉祺,山东,Thu Nov 17 18:21:12 +0800 2022,4,happiness
演出顺利宝贝,四川,Fri Nov 18 13:24:45 +0800 2022,1,like
嘉祺,江苏,Fri Nov 18 13:01:37 +0800 2022,1,disgust
啊啊啊宝宝，好想你，唱的非常好听呢，爱你爱你,安徽,Fri Nov 18 12:56:18 +0800 2022,1,like
阿祺,江苏,Fri Nov 18 12:36:34 +0800 2022,1,disgust
【1118】,广东,Fri Nov 18 12:35:42 +0800 2022,1,anger
阿祺，期待你的话剧,北京,Fri Nov 18 12:17:55 +0800 2022,1,like
马嘉祺,辽宁,Fri Nov 18 12:07:34 +0800 2022,1,anger
11.18,安徽,Fri Nov 18 12:02:21 +0800 2022,1,anger
宝贝来了,内蒙古,Fri Nov 18 11:42:35 +0800 2022,1,like
啊啊啊啊啊，马哥好可爱,广东,Fri Nov 18 11:22:13 +0800 2022,1,like
宝贝好帅,河北,Fri Nov 18 11:08:03 +0800 2022,1,like
有好多话想告诉你，但是最后好像也只有我好想你，但是这句话是真的，真的很想你，生活每一天都很累，但是没关系呀，想到你，我突然就觉得一切都值得了，中午好 嘉祺,贵州,Fri Nov 18 10:54:38 +0800 2022,2,sadness
今天下午的话剧演出顺利哦,河北,Fri Nov 18 10:49:56 +0800 2022,1,happiness
早安宝贝,山东,Fri Nov 18 10:47:15 +0800 2022,1,happiness
好帅好帅,江苏,Fri Nov 18 10:35:15 +0800 2022,1,like
来啦来啦,北京,Fri Nov 18 10:33:02 +0800 2022,1,anger
嘉祺！注意保暖！！,西藏,Fri Nov 18 10:27:19 +0800 2022,1,disgust
宝贝，期待演出成功,甘肃,Fri Nov 18 09:34:05 +0800 2022,1,like
小茄子🍆,安徽,Fri Nov 18 09:02:47 +0800 2022,1,anger
嘉祺💜,河北,Fri Nov 18 08:46:10 +0800 2022,1,anger
宝宝（架子鼓版,英国,Fri Nov 18 08:40:05 +0800 2022,1,sadness
还有收到的小表情🫡,山东,Fri Nov 18 08:25:38 +0800 2022,1,anger
宝宝怎么那么可爱啊,山东,Fri Nov 18 08:25:25 +0800 2022,1,sadness
嘉祺，预祝㊗️话剧首演，顺顺利利，圆满成功,河北,Fri Nov 18 08:22:18 +0800 2022,1,happiness
宝贝,广东,Fri Nov 18 07:59:07 +0800 2022,1,like
嘉祺，早安,河南,Fri Nov 18 07:33:15 +0800 2022,1,happiness
早上好啊宝贝，外免得星星好多啊，你看到了吗？,西藏,Fri Nov 18 07:30:05 +0800 2022,1,happiness
哥哥请保持这个更博频率好吗,江苏,Fri Nov 18 07:23:48 +0800 2022,1,disgust
宝贝,广东,Fri Nov 18 07:22:46 +0800 2022,1,like
马嘉祺开开心心顺顺利利！！,北京,Fri Nov 18 07:22:30 +0800 2022,1,happiness
嘉祺早上好,江西,Fri Nov 18 07:21:47 +0800 2022,1,sadness
宝贝早,贵州,Fri Nov 18 07:14:01 +0800 2022,1,like
嘉祺晚上好 最近北京天气挺冷的 你要记得多穿衣服穿厚一点注意保暖不要生病了 训练的时候也要注意休息 劳逸结合！,河南,Fri Nov 18 06:16:43 +0800 2022,1,sadness
嘉祺宝宝,广东,Fri Nov 18 02:00:02 +0800 2022,1,anger
宝宝看到啦,天津,Fri Nov 18 01:42:57 +0800 2022,1,surprise
想听你唱薛之谦老师的歌 可不可以啊！,河北,Fri Nov 18 00:57:17 +0800 2022,1,sadness
晚安老公,中国台湾,Fri Nov 18 00:48:57 +0800 2022,1,happiness
永远做阿祺的歌迷,河南,Fri Nov 18 00:40:34 +0800 2022,1,like
马嘉祺你快去给我玩一下弹一弹，你知道有多难玩吗,广东,Fri Nov 18 00:07:49 +0800 2022,1,anger
宝贝！晚安🌙,福建,Thu Nov 17 23:59:44 +0800 2022,1,happiness
11.17马嘉祺,江苏,Thu Nov 17 23:57:34 +0800 2022,1,anger
多穿点啊宝贝,广西,Thu Nov 17 23:53:57 +0800 2022,1,like
宝宝,四川,Thu Nov 17 23:52:43 +0800 2022,1,surprise
宝宝 想听《爱人错过》！！！,河北,Thu Nov 17 23:44:59 +0800 2022,1,sadness
老公,江苏,Thu Nov 17 23:44:50 +0800 2022,1,anger
马嘉祺唱的太好听啦,海南,Thu Nov 17 23:40:21 +0800 2022,1,like
帅,辽宁,Thu Nov 17 23:36:52 +0800 2022,1,like
架子鼓小马真的好棒,辽宁,Thu Nov 17 23:23:15 +0800 2022,1,like
嘉祺宝贝！你好帅！！,辽宁,Thu Nov 17 23:18:34 +0800 2022,1,like
马哥,广东,Thu Nov 17 23:18:19 +0800 2022,1,surprise
真帅啊！！！！！,四川,Thu Nov 17 23:13:53 +0800 2022,1,surprise
最喜欢哥哥打鼓了，好帅,江西,Thu Nov 17 23:12:45 +0800 2022,1,like
马哥来了,四川,Thu Nov 17 23:11:29 +0800 2022,1,surprise
宝宝想你,山东,Thu Nov 17 23:08:12 +0800 2022,1,sadness
嘉祺你来了,安徽,Thu Nov 17 23:07:37 +0800 2022,1,anger
？？为什么只有你没有文案,江西,Thu Nov 17 23:02:36 +0800 2022,1,sadness
呦 积极营业了,江西,Thu Nov 17 23:00:30 +0800 2022,1,like
宝宝好帅,江苏,Thu Nov 17 22:57:18 +0800 2022,1,like
这世界那么多人,新疆,Thu Nov 17 22:56:35 +0800 2022,1,disgust
老公你好,黑龙江,Thu Nov 17 22:51:04 +0800 2022,1,happiness
晚好宝宝,黑龙江,Thu Nov 17 22:49:29 +0800 2022,1,happiness
马嘉祺马嘉祺,辽宁,Thu Nov 17 22:46:15 +0800 2022,1,anger
真可爱✌️,辽宁,Thu Nov 17 22:46:08 +0800 2022,1,like
宝贝好喜欢你🥰,江苏,Thu Nov 17 22:45:01 +0800 2022,1,like
宝宝宝宝我爱你,福建,Thu Nov 17 22:43:13 +0800 2022,1,like
🫡,河南,Thu Nov 17 22:41:51 +0800 2022,1,anger
你是不是用🍎发了个表情，但是我是安卓看不到,吉林,Thu Nov 17 22:21:02 +0800 2022,1,disgust
嘉祺晚上好呀，最近一直在循环嘉祺的舞台，我要夸一万遍，嘉祺真的太棒啦,广东,Thu Nov 17 22:21:00 +0800 2022,1,happiness
搞偷袭啊，我迟了六个小时都没收到系统通知特别关心的信息,云南,Thu Nov 17 22:20:02 +0800 2022,1,anger
想你想你想你,江苏,Thu Nov 17 22:18:02 +0800 2022,1,sadness
老公晚上好！,江苏,Thu Nov 17 22:15:09 +0800 2022,1,happiness
哥哥好帅好想你,新疆,Thu Nov 17 22:11:16 +0800 2022,1,like
晚安,内蒙古,Thu Nov 17 22:08:06 +0800 2022,1,happiness
宝宝晚上好哇 最近过得怎么样呢 有好好吃饭嘛[干饭人],福建,Thu Nov 17 22:05:15 +0800 2022,1,happiness
宝宝晚上好啊,山东,Thu Nov 17 22:04:46 +0800 2022,1,happiness
啊啊来晚了😢哥哥你最近好忙啊😣我们亲爱的小超人努力工作的同时也要照顾好自己啊😚要早睡早起  多吃饭哦,安徽,Thu Nov 17 21:59:52 +0800 2022,1,like
今天在学校信息课偷偷看宝宝了 只是不能评论和点赞,山东,Thu Nov 17 21:55:55 +0800 2022,1,like
好帅喔宝宝,山东,Thu Nov 17 21:55:08 +0800 2022,1,like
好好好好好好好帅帅帅帅帅！！！！,福建,Thu Nov 17 21:52:45 +0800 2022,1,like
晚上好宝贝,江西,Thu Nov 17 21:52:25 +0800 2022,1,like
晚上好！嘉祺,福建,Thu Nov 17 21:50:22 +0800 2022,1,happiness
啊啊啊啊啊马哥,湖南,Thu Nov 17 21:50:11 +0800 2022,1,surprise
宝宝怎么越长越幼啊,吉林,Thu Nov 17 21:47:42 +0800 2022,1,anger
OK很帅,广西,Thu Nov 17 21:45:25 +0800 2022,1,like
马哥,福建,Thu Nov 17 21:45:11 +0800 2022,1,surprise
宝宝晚上好啊，依旧那么的帅气,湖南,Thu Nov 17 21:38:01 +0800 2022,1,like
嘉祺你来啦👋🏻又等到你啦！！宝宝最近营业也太勤快了吧😋太开心啦！嘉祺实在是太帅啦,湖北,Thu Nov 17 21:37:45 +0800 2022,1,happiness
宝宝明天演出顺利,四川,Thu Nov 17 21:37:36 +0800 2022,1,happiness
帅哥结婚！,内蒙古,Thu Nov 17 21:37:09 +0800 2022,1,like
嘉祺，好帅呀,福建,Thu Nov 17 21:34:03 +0800 2022,1,like
宝宝,江西,Thu Nov 17 21:26:07 +0800 2022,1,surprise
宝宝唱自己想唱的就好！！！,安徽,Thu Nov 17 21:24:56 +0800 2022,1,happiness
帅啊帅啊，降温了哥哥，要多穿衣服,重庆,Thu Nov 17 21:24:49 +0800 2022,1,happiness
你唱的都想听！！！,安徽,Thu Nov 17 21:24:40 +0800 2022,1,anger
宝宝,中国台湾,Thu Nov 17 21:22:37 +0800 2022,1,surprise
卧槽我服 你特mua的 我爱死你了,山东,Thu Nov 17 21:15:39 +0800 2022,1,anger
好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅,甘肃,Thu Nov 17 21:13:05 +0800 2022,2,like
好想宝宝,山东,Thu Nov 17 21:06:47 +0800 2022,1,like
宝宝好帅，棒棒哒,江苏,Thu Nov 17 21:02:48 +0800 2022,1,like
晚上好,河北,Thu Nov 17 21:02:09 +0800 2022,1,happiness
真的不敢相信我们宝二十了,陕西,Thu Nov 17 20:58:49 +0800 2022,1,sadness
宝贝！！！晚上好,宁夏,Thu Nov 17 20:57:05 +0800 2022,1,happiness
嘉祺宝宝，晚上好,湖南,Thu Nov 17 20:56:32 +0800 2022,1,happiness
架子鼓小马真的好帅！！,山东,Thu Nov 17 20:54:57 +0800 2022,1,like
嘉祺哥哥！！！！！,浙江,Thu Nov 17 20:54:19 +0800 2022,1,disgust
嘉祺，晚上好,福建,Thu Nov 17 20:49:48 +0800 2022,1,happiness
马哥帅哟,重庆,Thu Nov 17 20:47:51 +0800 2022,1,like
宝宝晚上好！最近也有特别特别想你,河南,Thu Nov 17 20:39:19 +0800 2022,1,like
宝宝虽然杭州才降温 但是北京肯定冷很多也冷的早的多 所以要注意保暖啊 虽然你已经穿上羽绒服而我还在穿卫衣 但是还是要提醒你 注意保暖！！！吃好吃饱多喝热水 还有快发个人单曲多发微博！每天都很想你呀！,浙江,Thu Nov 17 20:35:33 +0800 2022,1,happiness
嘉祺！,陕西,Thu Nov 17 20:34:27 +0800 2022,1,anger
好帅,江西,Thu Nov 17 20:32:30 +0800 2022,1,like
小队长好帅！！！,河南,Thu Nov 17 20:20:54 +0800 2022,1,like
久违的架子鼓,河南,Thu Nov 17 20:20:11 +0800 2022,1,sadness
宝,广东,Thu Nov 17 20:19:57 +0800 2022,1,surprise
啊啊啊啊哥哥我好想你好想你呀！,福建,Thu Nov 17 20:12:10 +0800 2022,1,sadness
哥哥,河北,Thu Nov 17 20:12:04 +0800 2022,1,sadness
哈喽宝贝,湖南,Thu Nov 17 20:09:59 +0800 2022,1,happiness
嘉祺晚上好,陕西,Thu Nov 17 20:08:45 +0800 2022,1,happiness
老公 你好帅,山东,Thu Nov 17 20:04:17 +0800 2022,1,like
好喜欢你,黑龙江,Thu Nov 17 19:59:51 +0800 2022,1,like
好帅啊,黑龙江,Thu Nov 17 19:59:29 +0800 2022,1,like
宝宝，天气冷了，记得多穿衣服好好保暖，好好休息,广东,Thu Nov 17 19:55:12 +0800 2022,1,happiness
晚上好,广东,Thu Nov 17 19:38:25 +0800 2022,1,happiness
马嘉祺未来可期！！,北京,Thu Nov 17 19:37:52 +0800 2022,1,sadness
马嘉祺,辽宁,Thu Nov 17 19:36:46 +0800 2022,1,anger
想听《今天你要嫁给我》,天津,Thu Nov 17 19:32:10 +0800 2022,1,sadness
想听鸡蛋歌啊宝宝,广东,Thu Nov 17 19:29:01 +0800 2022,1,surprise
好的,江苏,Thu Nov 17 19:26:42 +0800 2022,1,like
宝宝！！爱你哦！宝贝！希望你未来认识更多更多对你好的朋友 同学 工作人员  不要遇见白眼狼 会更多更多人喜欢你！未来更幸运！顺顺利利 ！一起去未来！💜💜,福建,Thu Nov 17 19:19:49 +0800 2022,1,like
呜呜呜宝宝，好帅,黑龙江,Thu Nov 17 19:19:05 +0800 2022,1,sadness
呀！好可爱,广西,Thu Nov 17 19:16:45 +0800 2022,1,like
马哥,吉林,Thu Nov 17 19:16:36 +0800 2022,1,surprise
啊啊啊啊啊马哥,湖南,Thu Nov 17 19:16:11 +0800 2022,1,surprise
哥你是要活跃了吗,河南,Thu Nov 17 19:11:22 +0800 2022,1,anger
帅哥文案呢,河北,Thu Nov 17 19:09:52 +0800 2022,1,fear
宝宝好乖呀,福建,Thu Nov 17 19:09:11 +0800 2022,1,happiness
嘉祺晚上好哦～今天你顺利吗？我挺顺利的,甘肃,Thu Nov 17 19:07:07 +0800 2022,1,happiness
啊老公,辽宁,Thu Nov 17 19:02:37 +0800 2022,1,anger
嘉祺 想你了,河北,Thu Nov 17 19:01:56 +0800 2022,1,anger
啊啊啊啊啊啊啊你收到了大家想听的歌对不对,上海,Thu Nov 17 19:01:12 +0800 2022,1,anger
哈喽马哥晚上好,江苏,Thu Nov 17 19:00:05 +0800 2022,1,happiness
乖乖,陕西,Thu Nov 17 18:58:40 +0800 2022,1,like
